Date,Open,High,Low,Close,Volume
4/21/2017 16:00:00,11419.49,11427.64,11372.41,11389.13,0
4/24/2017 16:00:00,11515.01,11546.09,11512.14,11531.79,0
4/25/2017 16:00:00,11573.68,11619.04,11571.1,11603.92,0
4/26/2017 16:00:00,11594.67,11653.17,11590.32,11592.91,0
4/27/2017 16:00:00,11601.33,11601.33,11545.85,11578.52,0
4/28/2017 16:00:00,11579.31,11579.31,11531.89,11536.08,0
5/1/2017 16:00:00,11550.41,11569.46,11550.41,11536.49,0
5/2/2017 16:00:00,11554.1,11562.64,11529.87,11551.3,0
5/3/2017 16:00:00,11527.89,11537.06,11493.32,11529.66,0
5/4/2017 16:00:00,11544.14,11546.22,11490.42,11534.71,0
5/5/2017 16:00:00,11554.08,11615.61,11552.36,11615.61,0
5/8/2017 16:00:00,11607.28,11612.18,11571.46,11595.26,0
5/9/2017 16:00:00,11602.42,11604.72,11547.08,11567.52,0
5/10/2017 16:00:00,11571.72,11599.5,11561.27,11598.99,0
5/11/2017 16:00:00,11572,11574.45,11508.17,11563.6,0
5/12/2017 16:00:00,11551.36,11557.82,11531.12,11547.05,0
5/15/2017 16:00:00,11547.44,11628.24,11547.44,11614.23,0
5/16/2017 16:00:00,11635,11642.85,11594.82,11606.49,0
5/17/2017 16:00:00,11522.97,11530.52,11422.58,11423.53,0
5/18/2017 16:00:00,11392.91,11479,11374.65,11434.07,0
5/19/2017 16:00:00,11475.01,11573.21,11474.52,11542.69,0
5/22/2017 16:00:00,11574.83,11592.53,11560.38,11585.21,0
5/23/2017 16:00:00,11602.38,11620.28,11587.83,11604.62,0
5/24/2017 16:00:00,11605.29,11626.14,11593.43,11621.23,0
5/25/2017 16:00:00,11641.36,11666.9,11623.19,11639.3,0
5/26/2017 16:00:00,11625.32,11635.46,11617.17,11631.87,0
5/30/2017 16:00:00,11607,11616.46,11588.27,11601.31,0
5/31/2017 16:00:00,11610.89,11613.11,11554.86,11598.03,0
6/1/2017 16:00:00,11616.21,11699.83,11603.41,11699.79,0
6/2/2017 16:00:00,11702.13,11728.8,11684.96,11718.7,0
6/5/2017 16:00:00,11700.46,11711.58,11683.15,11693.68,0
6/6/2017 16:00:00,11661.94,11693.1,11644.14,11671.46,0
6/7/2017 16:00:00,11677.82,11698.15,11635.57,11667.73,0
6/8/2017 16:00:00,11664.52,11702.64,11655.13,11678.95,0
6/9/2017 16:00:00,11678.86,11754.75,11678.86,11744.73,0
6/12/2017 16:00:00,11749.35,11774.19,11715.09,11746.46,0
6/13/2017 16:00:00,11770.09,11799.19,11757.75,11796.79,0
6/14/2017 16:00:00,11810.87,11811.51,11750.75,11779.81,0
6/15/2017 16:00:00,11703.25,11744.62,11693.9,11740.52,0
6/16/2017 16:00:00,11745.3,11772.03,11716.69,11772.02,0
6/19/2017 16:00:00,11801.83,11836.96,11800.42,11833.34,0
6/20/2017 16:00:00,11801.2,11801.2,11736.87,11738.95,0
6/21/2017 16:00:00,11742.48,11753.31,11678.9,11696.28,0
6/22/2017 16:00:00,11704.12,11741.88,11697.93,11712.52,0
6/23/2017 16:00:00,11716.58,11750.33,11702.11,11733.2,0
6/26/2017 16:00:00,11761.45,11793.54,11741.79,11758.86,0
6/27/2017 16:00:00,11765.81,11787.6,11716.92,11716.92,0
6/28/2017 16:00:00,11771.14,11827.51,11771.14,11812.8,0
6/29/2017 16:00:00,11835.5,11837.6,11683.31,11739.98,0
6/30/2017 16:00:00,11777.63,11799.46,11738.16,11761.7,0
7/3/2017 16:00:00,11801.45,11869.82,11801.45,11835.72,0
7/5/2017 16:00:00,11826.25,11829.92,11772.92,11809.49,0
7/6/2017 16:00:00,11766.13,11771.18,11694.08,11702.43,0
7/7/2017 16:00:00,11713.66,11757.56,11698.08,11752.98,0
7/10/2017 16:00:00,11744.24,11776.9,11733.74,11751.79,0
7/11/2017 16:00:00,11748.23,11759.17,11684.75,11744.77,0
7/12/2017 16:00:00,11794.43,11846,11794.43,11825.9,0
7/13/2017 16:00:00,11832.78,11849.39,11810.05,11844.62,0
7/14/2017 16:00:00,11844.03,11918.17,11838.55,11897.31,0
7/17/2017 16:00:00,11894.69,11910.85,11882.37,11890.51,0
7/18/2017 16:00:00,11878.77,11879.97,11843.82,11877.42,0
7/19/2017 16:00:00,11894.34,11941.38,11893.42,11941.34,0
7/20/2017 16:00:00,11956.27,11963.55,11928.67,11944.5,0
7/21/2017 16:00:00,11944.5,11944.5,11890.59,11924.6,0
7/24/2017 16:00:00,11918.53,11919.61,11891.66,11904.71,0
7/25/2017 16:00:00,11973.06,11985.8,11952.22,11965.72,0
7/26/2017 16:00:00,11983.75,11985.19,11956.41,11964.91,0
7/27/2017 16:00:00,11977.89,11977.89,11911.8,11963.23,0
7/28/2017 16:00:00,11950.61,11959.86,11923.16,11954.69,0
7/31/2017 16:00:00,11976.21,11989.53,11950.58,11967.67,0
8/1/2017 16:00:00,12006.74,12012.65,11978.95,12000.02,0
8/2/2017 16:00:00,11979.1,11981.41,11938.9,11979.37,0
8/3/2017 16:00:00,11968.48,11975.42,11944.19,11956.52,0
8/4/2017 16:00:00,11982.03,11994.95,11959.99,11984.89,0
8/7/2017 16:00:00,11983.72,11987.8,11969.94,11987.77,0
8/8/2017 16:00:00,11987.78,12019.85,11931.71,11949.97,0
8/9/2017 16:00:00,11906.63,11930.13,11896.36,11929.47,0
8/10/2017 16:00:00,11889.28,11889.28,11770.48,11771.6,0
8/11/2017 16:00:00,11754.4,11791.38,11753.3,11763.21,0
8/14/2017 16:00:00,11820.18,11879.03,11820.18,11856.06,0
8/15/2017 16:00:00,11861.18,11862.48,11829.95,11843.48,0
8/16/2017 16:00:00,11868.18,11891.04,11857.47,11868.85,0
8/17/2017 16:00:00,11839.91,11856.49,11712.6,11712.72,0
8/18/2017 16:00:00,11702.01,11753.83,11670.88,11699.83,0
8/21/2017 16:00:00,11700.11,11726.9,11678.21,11719.27,0
8/22/2017 16:00:00,11743.41,11813.91,11743.41,11805.29,0
8/23/2017 16:00:00,11770.65,11805.5,11758.99,11785.92,0
8/24/2017 16:00:00,11806.89,11816.6,11769.99,11773.8,0
8/25/2017 16:00:00,11804.88,11845.5,11804.88,11812.03,0
8/28/2017 16:00:00,11831.02,11836.46,11776.45,11800.22,0
8/29/2017 16:00:00,11733.8,11801.41,11728.98,11791.88,0
8/30/2017 16:00:00,11783.38,11818.68,11770.06,11805.07,0
8/31/2017 16:00:00,11833.88,11890.31,11833.88,11875.69,0
9/1/2017 16:00:00,11897.98,11934.97,11897.98,11918.08,0
9/5/2017 16:00:00,11894.93,11898.12,11783.87,11827.15,0
9/6/2017 16:00:00,11859.32,11889.27,11855.15,11872.92,0
9/7/2017 16:00:00,11896.8,11899.62,11858.74,11879.61,0
9/8/2017 16:00:00,11873.99,11902.44,11861.74,11887.98,0
9/11/2017 16:00:00,11943.47,12015.79,11943.47,12010.27,0
9/12/2017 16:00:00,12029.79,12061.05,12028.71,12057.13,0
9/13/2017 16:00:00,12049.72,12063.25,12044.66,12055.18,0
9/14/2017 16:00:00,12042.54,12065.8,12033.64,12062.62,0
9/15/2017 16:00:00,12065.33,12080.68,12050.52,12080.14,0
9/18/2017 16:00:00,12094.83,12123.74,12091.74,12111.45,0
9/19/2017 16:00:00,12126.23,12137.6,12116.63,12131.73,0
9/20/2017 16:00:00,12137.49,12158.98,12103.13,12147.51,0
9/21/2017 16:00:00,12140.21,12152.78,12120.88,12133.62,0
9/22/2017 16:00:00,12134.46,12156.1,12133.69,12151.8,0
9/25/2017 16:00:00,12144.07,12165.25,12108.01,12141.56,0
9/26/2017 16:00:00,12142.06,12156.5,12125.75,12127.92,0
9/27/2017 16:00:00,12154.55,12173.34,12112.12,12157.65,0
9/28/2017 16:00:00,12147.61,12183.67,12142.98,12179.31,0
9/29/2017 16:00:00,12179.32,12209.45,12172.12,12209.16,0
10/2/2017 16:00:00,12209.16,12265.39,12200.13,12264.67,0
10/3/2017 16:00:00,12274.73,12303.72,12266.52,12302.88,0
10/4/2017 16:00:00,12298.11,12320.03,12289.17,12304.67,0
10/5/2017 16:00:00,12307.72,12351.14,12303.05,12338.93,0
10/6/2017 16:00:00,12314.61,12317.98,12291.87,12317.69,0
10/9/2017 16:00:00,12328.19,12334.31,12281.17,12293.95,0
10/10/2017 16:00:00,12329.65,12356,12321.61,12346.59,0
10/11/2017 16:00:00,12347.21,12362.19,12338.18,12362.06,0
10/12/2017 16:00:00,12342.15,12353.14,12325.03,12338.74,0
10/13/2017 16:00:00,12360.87,12377.89,12350.03,12352,0
10/16/2017 16:00:00,12365.99,12377.25,12343.18,12359.52,0
10/17/2017 16:00:00,12355.22,12357.64,12332.25,12349.97,0
10/18/2017 16:00:00,12371.3,12382.59,12358.1,12371.02,0
10/19/2017 16:00:00,12336.15,12381.52,12322.13,12380.32,0
10/20/2017 16:00:00,12407.98,12430.65,12401.64,12430.52,0
10/23/2017 16:00:00,12436.76,12443.8,12383.36,12384.42,0
10/24/2017 16:00:00,12405.97,12419.51,12397.26,12404.99,0
10/25/2017 16:00:00,12406.2,12406.2,12280.31,12336.58,0
10/26/2017 16:00:00,12362.84,12380.28,12350.5,12352.43,0
10/27/2017 16:00:00,12339.65,12366.7,12308.36,12366.43,0
10/30/2017 16:00:00,12349.36,12354.56,12308.84,12319.47,0
10/31/2017 16:00:00,12333.82,12358.76,12322.45,12341.01,0
11/1/2017 16:00:00,12383.87,12414.6,12352.1,12362.88,0
11/2/2017 16:00:00,12359.29,12377.09,12316.77,12372.96,0
11/3/2017 16:00:00,12361.02,12376.23,12340.89,12373.06,0
11/6/2017 16:00:00,12373.07,12410.66,12365.51,12400.93,0
11/7/2017 16:00:00,12398.79,12415.96,12344.64,12371.25,0
11/8/2017 16:00:00,12361.23,12390.53,12344.15,12384.72,0
11/9/2017 16:00:00,12326.32,12350.7,12268.07,12339.66,0
11/10/2017 16:00:00,12324.38,12332.24,12303.86,12322.6,0
11/13/2017 16:00:00,12281.19,12328.16,12272.21,12316.82,0
11/14/2017 16:00:00,12316.83,12316.83,12238.08,12280.11,0
11/15/2017 16:00:00,12222.09,12250.92,12178.89,12220.34,0
11/16/2017 16:00:00,12258.78,12321.9,12258.78,12303.28,0
11/17/2017 16:00:00,12281.28,12314.69,12277.31,12302.89,0
11/20/2017 16:00:00,12306.66,12331.09,12294.96,12320.77,0
11/21/2017 16:00:00,12352.57,12397.32,12352.57,12385.88,0
11/22/2017 16:00:00,12406.14,12416.75,12380.29,12390.82,0
11/24/2017 13:00:00,12423.7,12431.69,12419.4,12421.93,0
11/27/2017 16:00:00,12421.31,12427.31,12390.3,12390.78,0
11/28/2017 16:00:00,12412.15,12523.64,12409.62,12520.23,0
11/29/2017 16:00:00,12529.55,12579.8,12529.55,12561.32,0
11/30/2017 16:00:00,12596.35,12673.7,12584.94,12627.8,0
12/1/2017 16:00:00,12636.73,12649.28,12463.83,12614.56,0
